pedal_id	builder	model	photo_count	primary_photo_source
DISC-0262		Vintage Tone Project Classic 60's Fuzz	0	
DISC-0263		IDEEN Tech True Friend Fuzz	0	
DISC-0264		Devi Ever FX VF Vintage Fuzz Master	0	
DISC-0265		Area 51 Fuzz	0	
DISC-0267		Schaller Fuzz	0	
DISC-0268		Schaller Verzerrer	0	
DISC-0269		Höfner No. 539 Fuzz/Distortion	0	
DISC-0270		Kent 6400 Distorter	0	
DISC-0271		Van Hall Fuzz	0	
DISC-0272		Blackfield Fuzz	0	
DISC-0273		Sears Fuzz-Tone Control	0	
DISC-0277		Clark SS-600 Fuzz Tone	0	
DISC-0278		Orpheum Fuzz	0	
DISC-0279		Mica-Tone Fuzz	0	
DISC-0280		Garen Distortion	0	
DISC-0286		Nova Tone Bender	0	
DISC-0287		Hohner MF-50 Master Fuzz Control	0	
DISC-0289		Guyatone FS-3 Fuzz	0	
DISC-0290		Guyatone TZm5 Torrid Fuzz	0	
DISC-0291		Wattson Classic Electronics Fuzz FY-2	0	
DISC-0293		Ghost Effects Shin-Ei Companion Fuzz FY-2	0	
DISC-0294		Fredric Effects Unpleasant Companion	0	
DISC-0295		Pigeon FX Companion FY-2 Fuzz	0	
DISC-0296		Electronic Orange Superfuzz	0	
DISC-0297		Schaller Fuzz-Sustain	0	
DISC-0298		Höfner Fuzz-Sustain	0	
DISC-0299		Allsound SC-30 Fuzz-Sustain	0	
DISC-0300		Kent 6406 The Angry Fuzz	0	
DISC-0301		Schaller Wha-Wha-Fuzz	0	
DISC-0302		Höfner Wha-Wha-Fuzz	0	
DISC-0303		Jen Jumbo Fuzz	0	
DISC-0304		Unicord Jumbo Fuzz	0	
DISC-0305		Jen Fuzzola	0	
DISC-0306		Dallas-Arbiter Jumbo Fuzz	0	
DISC-0307		Roadrunner Supersonic Fuzz	0	
DISC-0308		Sears Model #1481 Fuzz & Wah & Volume Control Pedal	0	
DISC-0309		General Guitar Gadgets Shin-Ei Companion Fuzz Replica	0	
DISC-0310		Wattson Classic Electronics Gemini	0	
DISC-0311		Squirrel Audio Fuzzy Squirrel	0	
DISC-0312		AnaSounds Feed Me - Fuzz	0	
DISC-0535		Fuzzrocious 420 Fuzz	0	
DISC-0536		Fuzzrocious Afterlife - Reverb	0	
DISC-0537		Fuzzrocious Anomalies	0	
DISC-0538		Fuzzrocious Baxstabber - Baxandall EQ/Preamp/Tone Shaper	0	
DISC-0539		Fuzzrocious Blast Furnace - Gated Fuzz with Momentary Delay	0	
DISC-0540		Fuzzrocious Broke Dick Peanut Gallery	0	
DISC-0541		Fuzzrocious Cat King	0	
DISC-0542		Fuzzrocious Cat Tail	0	
DISC-0543		Fuzzrocious Cicada Fuzz	0	
DISC-0544		Fuzzrocious Dark Driving	0	
DISC-0545		Fuzzrocious Darkest Driving	0	
DISC-0546		Fuzzrocious Demon King	0	
DISC-0547		Fuzzrocious Empty Glass - Collaboration with Daughters	0	
DISC-0548		Fuzzrocious Feed Me	0	
DISC-0549		Fuzzrocious Green Stache	0	
DISC-0550		Fuzzrocious Grey Stache	0	
DISC-0551		Fuzzrocious Grey Stache Plus	0	
DISC-0552		Fuzzrocious Heliotropic	0	
DISC-0553		Fuzzrocious K-A-E-D-E-N Drive	0	
DISC-0554		Fuzzrocious LunaReclipse	0	
DISC-0555		Fuzzrocious M.O.T.H. - Multi Overdrive Tremolo Hex	0	
DISC-0556		Fuzzrocious Mail Order Muff	0	
DISC-0557		Fuzzrocious Momster	0	
DISC-0558		Fuzzrocious Octave Jawn	0	
DISC-0559		Fuzzrocious Oh See Demon	0	
DISC-0560		Fuzzrocious Pedals Afterlife v2 - Reverb	0	
DISC-0561		Fuzzrocious Pedals Grey Stache / Heliotropic	0	
DISC-0562		Fuzzrocious Pedals Knob Jawn - Octaver	0	
DISC-0563		Fuzzrocious Pedals Playing Mantis	0	
DISC-0564		Fuzzrocious Ram The Manparts	0	
DISC-0565		Fuzzrocious Rat King	0	
DISC-0566		Fuzzrocious Rat Tail	0	
